AreaUnit,Total_Crime,Commonest_Crime
Styx Mill,54,Theft and Related Offences
Hoon Hay,53,"Unlawful Entry With Intent/Burglary, Break and Enter"
Rangiora North,52,Theft and Related Offences
Mairehau North,51,Theft and Related Offences
Highfield,49,Theft and Related Offences
Rapaki Track,49,Theft and Related Offences
Strowan,49,Theft and Related Offences
Ashburton Central East,48,"Unlawful Entry With Intent/Burglary, Break and Enter"
Halswell South,48,Theft and Related Offences
Hillmorton,48,Theft and Related Offences
Sumner,48,Theft and Related Offences
Woolston South,48,Theft and Related Offences
Temuka,47,Theft and Related Offences
Parklands,46,Theft and Related Offences
Merrin,45,Theft and Related Offences
Redwood North,45,Theft and Related Offences
Russley,44,Theft and Related Offences
Waimate,44,Theft and Related Offences
Rutland,42,"Unlawful Entry With Intent/Burglary, Break and Enter"
Washdyke,42,Acts Intended to Cause Injury
Heathcote Valley,41,Theft and Related Offences
Avondale,39,"Unlawful Entry With Intent/Burglary, Break and Enter"
Waihao,39,"Unlawful Entry With Intent/Burglary, Break and Enter"
Bryndwr,38,Theft and Related Offences
Marchwiel,36,Theft and Related Offences
Deans Bush,35,Theft and Related Offences
Harewood,35,Theft and Related Offences
Rolleston South East,35,Theft and Related Offences
Barrington South,34,Theft and Related Offences
St Albans West,34,"Unlawful Entry With Intent/Burglary, Break and Enter"
Travis,34,Theft and Related Offences
Ilam,33,"Unlawful Entry With Intent/Burglary, Break and Enter"
Somerfield,32,Theft and Related Offences
Clarkville,31,Theft and Related Offences
Netherby,31,Theft and Related Offences
South Brighton,31,Theft and Related Offences
Halswell Domain,30,Theft and Related Offences
Timaru Gardens,30,"Unlawful Entry With Intent/Burglary, Break and Enter"
Mt Somers,27,Theft and Related Offences
Wairarapa,27,Theft and Related Offences
Dallington,26,Theft and Related Offences
Mairehau,26,Theft and Related Offences
Tinwald,26,"Unlawful Entry With Intent/Burglary, Break and Enter"
Watlington,26,Theft and Related Offences
Allenton East,25,Theft and Related Offences
Bexley,25,Theft and Related Offences
Rangiora Central,24,Theft and Related Offences
Amberley,23,Theft and Related Offences
Broomfield,23,"Unlawful Entry With Intent/Burglary, Break and Enter"
Hurunui,23,Theft and Related Offences
Levels,23,Theft and Related Offences
Malvern,23,Theft and Related Offences
Selwyn-Rakaia,23,Theft and Related Offences
Darfield,22,Theft and Related Offences
Hinds,22,Acts Intended to Cause Injury
Rolleston Central,22,"Unlawful Entry With Intent/Burglary, Break and Enter"
Springston,22,Theft and Related Offences
Avonhead,21,Theft and Related Offences
Burwood,21,Acts Intended to Cause Injury
Moncks Bay,21,Theft and Related Offences
Redruth,21,Theft and Related Offences
Woodend,21,Theft and Related Offences
Halswell West,20,Theft and Related Offences
Hendersons Basin,20,Theft and Related Offences
Mt Pleasant,19,Theft and Related Offences
Orari,19,Theft and Related Offences
Burnside,18,"Unlawful Entry With Intent/Burglary, Break and Enter"
Hawthornden,18,Theft and Related Offences
Hampstead,17,Theft and Related Offences
Rakaia,17,Theft and Related Offences
Kirwee,16,"Unlawful Entry With Intent/Burglary, Break and Enter"
Twizel Community,16,Theft and Related Offences
Westhaven,16,"Unlawful Entry With Intent/Burglary, Break and Enter"
Fraser Park,15,Theft and Related Offences
Glenwood,15,Theft and Related Offences
Kaiapoi North East,15,Theft and Related Offences
Maori Park,15,"Unlawful Entry With Intent/Burglary, Break and Enter"
Geraldine,14,Theft and Related Offences
Kaikoura Rural,14,"Unlawful Entry With Intent/Burglary, Break and Enter"
Leeston,14,Theft and Related Offences
Mackenzie,14,Theft and Related Offences
Pleasant Point,14,Theft and Related Offences
Aidanfield,13,Theft and Related Offences
Holmwood,13,Theft and Related Offences
Mansfield,13,"Unlawful Entry With Intent/Burglary, Break and Enter"
Oxford,13,Theft and Related Offences
Pegasus,13,Theft and Related Offences
Aviemore,12,Theft and Related Offences
Highfield Park,12,Theft and Related Offences
Hoon Hay South,12,Theft and Related Offences
Kingsbury,12,"Unlawful Entry With Intent/Burglary, Break and Enter"
Leithfield,12,Theft and Related Offences
Methven,12,"Unlawful Entry With Intent/Burglary, Break and Enter"
Prebbleton,12,"Unlawful Entry With Intent/Burglary, Break and Enter"
Tuahiwi,12,"Unlawful Entry With Intent/Burglary, Break and Enter"
Amuri,11,Theft and Related Offences
Fairlie,11,"Unlawful Entry With Intent/Burglary, Break and Enter"
Hanmer Springs,11,"Unlawful Entry With Intent/Burglary, Break and Enter"
Kaiapoi East,11,Theft and Related Offences
Sefton,11,Acts Intended to Cause Injury
Allenton West,10,Theft and Related Offences
Kennedys Bush,10,Theft and Related Offences
Lehmans,10,Theft and Related Offences
Loburn,10,Theft and Related Offences
Rangiora West,10,Theft and Related Offences
Ravenswood,10,"Unlawful Entry With Intent/Burglary, Break and Enter"
Trents-Ladbrooks,10,Theft and Related Offences
Akaroa,9,Theft and Related Offences
Governors Bay,9,Theft and Related Offences
Lake Tekapo,9,Theft and Related Offences
Mcleans Island,9,"Unlawful Entry With Intent/Burglary, Break and Enter"
Ohoka,9,Theft and Related Offences
Pareora,9,"Unlawful Entry With Intent/Burglary, Break and Enter"
Templeton,9,Theft and Related Offences
Beckenham,8,Acts Intended to Cause Injury
Chertsey,8,Theft and Related Offences
Mandeville,8,"Unlawful Entry With Intent/Burglary, Break and Enter"
Silverstream,8,Theft and Related Offences
Ashley Gorge,7,Theft and Related Offences
Cheviot,7,Theft and Related Offences
Coldstream,7,Theft and Related Offences
Diamond Harbour,7,Acts Intended to Cause Injury
Kaiapoi West,7,"Unlawful Entry With Intent/Burglary, Break and Enter"
Omarama,7,Theft and Related Offences
Rolleston South West,7,Theft and Related Offences
Waikuku,7,"Unlawful Entry With Intent/Burglary, Break and Enter"
Avon-Heathcote Estuary,6,Theft and Related Offences
Burnham Military Camp,6,Theft and Related Offences
Dunsandel,6,Theft and Related Offences
Fairton,6,"Unlawful Entry With Intent/Burglary, Break and Enter"
Oaklands West,6,Acts Intended to Cause Injury
Parnassus,6,Acts Intended to Cause Injury
Rolleston North West,6,Acts Intended to Cause Injury
Otipua Creek-Washdyke Flat,5,"Unlawful Entry With Intent/Burglary, Break and Enter"
Plains Railway,5,Acts Intended to Cause Injury
Culverden,4,Theft and Related Offences
Fernside,4,"Unlawful Entry With Intent/Burglary, Break and Enter"
Pines-Kairaki Beach,4,Acts Intended to Cause Injury
West Eyreton,4,Theft and Related Offences
Winchester,4,Theft and Related Offences
Akaroa Harbour,3,"Unlawful Entry With Intent/Burglary, Break and Enter"
Cust,3,Theft and Related Offences
Duntroon,3,Theft and Related Offences
Eyrewell,3,"Unlawful Entry With Intent/Burglary, Break and Enter"
Fairview-Scarborough,3,"Unlawful Entry With Intent/Burglary, Break and Enter"
Taitapu,3,Theft and Related Offences
Waiau,3,Theft and Related Offences
Westmorland,3,"Unlawful Entry With Intent/Burglary, Break and Enter"
Woodend Beach,3,"Unlawful Entry With Intent/Burglary, Break and Enter"
Banks Peninsula Eastern Bays,2,Theft and Related Offences
Mairaki,2,Theft and Related Offences
Okuku,2,"Unlawful Entry With Intent/Burglary, Break and Enter"
Otematata,2,"Unlawful Entry With Intent/Burglary, Break and Enter"
Southbridge,2,Theft and Related Offences
Ashley,1,Theft and Related Offences
Camside,1,Theft and Related Offences
Gleniti,1,Sexual Assault and Related Offences
Inlets-Banks Peninsula Bays,1,Acts Intended to Cause Injury
Little River,1,"Unlawful Entry With Intent/Burglary, Break and Enter"
St Andrews,1,Theft and Related Offences
