"AreaUnit","Total_Crashes","Total_Crime","Commonest_Crime","Closest_Medical_Hospital","Distance_Medical_Hospital","Closest_Childrens_Health_Hospital","Distance_Childrens_Health_Hospital","Closest_Dementia_Care_Hospital","Distance_Dementia_Care_Hospital","Closest_Geriatric_Hospital","Distance_Geriatric_Hospital","Closest_Maternity_Hospital","Distance_Maternity_Hospital","Closest_Mental_Health_Hospital","Distance_Mental_Health_Hospital","Closest_Psychogeriatric_Hospital","Distance_Psychogeriatric_Hospital","Closest_Surgical_Hospital","Distance_Surgical_Hospital","Average_decile","Primary","Secondary","Composite","Other"
"Ashburton Central East",101,48,"Unlawful Entry With Intent/Burglary, Break and Enter","Tuarangi Home",231.845887818524,"Timaru Hospital",68338.7651664485,"Tuarangi Home",231.845887818524,"Tuarangi Home",231.845887818524,"Ashburton Hospital",1264.82726733043,"Timaru Hospital",68338.7651664485,"Burwood Hospital",88542.8549764755,"Bidwill Trust Hospital",67774.3519718152,6,0,0,0,1
"Ashburton Central West",108,69,"Theft and Related Offences","Tuarangi Home",671.153749207188,"Timaru Hospital",68568.9459064895,"Tuarangi Home",671.153749207188,"Tuarangi Home",671.153749207188,"Ashburton Hospital",790.182476217876,"Timaru Hospital",68568.9459064895,"Burwood Hospital",88503.6824861208,"Bidwill Trust Hospital",67993.1088606232,7.5,2,0,0,0
"Ashburton East",14,NA,NA,"Tuarangi Home",1664.95147446743,"Timaru Hospital",68522.278192535,"Tuarangi Home",1664.95147446743,"Tuarangi Home",1664.95147446743,"Ashburton Hospital",2941.0354368349,"Timaru Hospital",68522.278192535,"Burwood Hospital",87671.9756939542,"Bidwill Trust Hospital",68007.6455537026,6,0,0,1,0
"Ashburton North",7,NA,NA,"Ashburton Hospital",2551.78162904119,"Timaru Hospital",71636.0011933755,"Tuarangi Home",3307.5383658635,"Tuarangi Home",3307.5383658635,"Ashburton Hospital",2551.78162904119,"Timaru Hospital",71636.0011933755,"Burwood Hospital",85733.855010902,"Bidwill Trust Hospital",71057.594387173,NA,0,NA,NA,NA
"Ashley",15,1,"Theft and Related Offences","Rangiora Hospital",4061.74315590169,"Christchurch Hospital",30631.0060145544,"Tuarangi Home",100234.826820579,"Burwood Hospital",25359.602450237,"Rangiora Hospital",4061.74315590169,"Hillmorton Hospital",32775.1533036648,"Burwood Hospital",25359.602450237,"Burwood Hospital",25359.602450237,10,1,0,0,0
"Ashley Gorge",49,7,"Theft and Related Offences","Oxford Hospital",134.761017648942,"Christchurch Hospital",43343.1290900359,"Tuarangi Home",75733.2390323134,"Oxford Hospital",134.761017648942,"Rangiora Hospital",32421.4792405332,"Hillmorton Hospital",42786.4862197559,"Burwood Hospital",44375.1366462538,"St George's Hospital",41434.6712071464,7,1,0,0,0
"Aviemore",145,12,"Theft and Related Offences","Hospice South Canterbury",93244.4112474555,"Timaru Hospital",95857.3492093883,"Tuarangi Home",153391.155082067,"Tuarangi Home",153391.155082067,"Timaru Hospital",95857.3492093883,"Timaru Hospital",95857.3492093883,"Burwood Hospital",241744.714703925,"Bidwill Trust Hospital",95089.239218971,NA,0,NA,NA,NA
"Avon Loop",248,225,"Theft and Related Offences","Southern Cross Hospital Christchurch",892.852978129144,"Christchurch Hospital",1739.84197460074,"Tuarangi Home",83063.3104970837,"Burwood Hospital",5850.57508772986,"Christchurch Hospital",1739.84197460074,"Hillmorton Hospital",4873.27938534501,"Burwood Hospital",5850.57508772986,"Forte Health Hospital",451.536921267359,3.5,2,0,0,0
"Avondale",44,39,"Unlawful Entry With Intent/Burglary, Break and Enter","Burwood Hospital",3012.68632691948,"Christchurch Hospital",6193.02743560674,"Tuarangi Home",87508.8425771976,"Burwood Hospital",3012.68632691948,"St George's Hospital",5936.69681135177,"The Princess Margaret Hospital",9196.19612828554,"Burwood Hospital",3012.68632691948,"Burwood Hospital",3012.68632691948,5,0,0,0,1
"Avonhead",33,21,"Theft and Related Offences","Nurse Maude Hospice",5236.34106766274,"Christchurch Hospital",5513.33314090204,"Tuarangi Home",77573.7556528527,"Burwood Hospital",10969.9201146056,"St George's Hospital",5043.00762958341,"Hillmorton Hospital",4597.01869560037,"Burwood Hospital",10969.9201146056,"St George's Hospital",5043.00762958341,7,1,0,0,0
"Avonhead West",47,75,"Theft and Related Offences","Nurse Maude Hospice",6682.36964285315,"Christchurch Hospital",6979.67340316459,"Tuarangi Home",76389.3661683794,"Burwood Hospital",12318.1525068895,"St George's Hospital",6476.87295284839,"Hillmorton Hospital",5727.73889883018,"Burwood Hospital",12318.1525068895,"St George's Hospital",6476.87295284839,7,1,0,0,0
"Avonside",38,56,"Acts Intended to Cause Injury","Southern Cross Hospital Christchurch",3060.12441748272,"Christchurch Hospital",3988.40270232754,"Tuarangi Home",85209.6918276897,"Burwood Hospital",4690.64531669851,"Christchurch Hospital",3988.40270232754,"The Princess Margaret Hospital",6831.23903517743,"Burwood Hospital",4690.64531669851,"Forte Health Hospital",2806.23676746827,2.5,1,1,0,0
"Banks Peninsula Eastern Bays",17,2,"Theft and Related Offences","Christchurch Hospital",35434.8088033289,"Christchurch Hospital",35434.8088033289,"Tuarangi Home",99364.5892297804,"Burwood Hospital",36166.1276712458,"Christchurch Hospital",35434.8088033289,"The Princess Margaret Hospital",33355.3753470114,"Burwood Hospital",36166.1276712458,"Forte Health Hospital",35233.8457772613,4,1,0,0,0
"Barrington North",102,168,"Theft and Related Offences","Christchurch Hospital",2536.13393165103,"Christchurch Hospital",2536.13393165103,"Tuarangi Home",79138.4923377246,"Burwood Hospital",9986.58736326254,"Christchurch Hospital",2536.13393165103,"Hillmorton Hospital",1124.41902593167,"Burwood Hospital",9986.58736326254,"Christchurch Hospital",2536.13393165103,4,1,0,0,0
"Barrington South",20,34,"Theft and Related Offences","Christchurch Hospital",3403.79739814888,"Christchurch Hospital",3403.79739814888,"Tuarangi Home",79219.8055269444,"Burwood Hospital",10546.1680640998,"Christchurch Hospital",3403.79739814888,"The Princess Margaret Hospital",791.150436376857,"Burwood Hospital",10546.1680640998,"Christchurch Hospital",3403.79739814888,6,0,1,1,0
"Beckenham",19,8,"Acts Intended to Cause Injury","Christchurch Hospital",3165.10736018601,"Christchurch Hospital",3165.10736018601,"Tuarangi Home",81070.458695687,"Burwood Hospital",9299.24680111591,"Christchurch Hospital",3165.10736018601,"The Princess Margaret Hospital",2200.33632771382,"Burwood Hospital",9299.24680111591,"Christchurch Hospital",3165.10736018601,8,2,0,0,0
"Belfast",121,248,"Unlawful Entry With Intent/Burglary, Break and Enter","Burwood Hospital",5545.42448472823,"Christchurch Hospital",9157.55188703108,"Tuarangi Home",86627.1453852608,"Burwood Hospital",5545.42448472823,"St George's Hospital",6504.38515387248,"Hillmorton Hospital",11553.7922032621,"Burwood Hospital",5545.42448472823,"Burwood Hospital",5545.42448472823,7,1,0,0,0
"Belfast South",21,60,"Theft and Related Offences","Nurse Maude Hospice",5640.4376347928,"Christchurch Hospital",8199.73916326843,"Tuarangi Home",85497.4894384535,"Burwood Hospital",5646.62691011864,"St George's Hospital",5498.1873731494,"Hillmorton Hospital",10466.891111959,"Burwood Hospital",5646.62691011864,"St George's Hospital",5498.1873731494,NA,0,NA,NA,NA
"Ben Mcleod",2,NA,NA,"Ashburton Hospital",39271.718213648,"Timaru Hospital",61201.9826432049,"Tuarangi Home",39997.1849395752,"Tuarangi Home",39997.1849395752,"Ashburton Hospital",39271.718213648,"Timaru Hospital",61201.9826432049,"Burwood Hospital",121931.059291389,"Bidwill Trust Hospital",59699.4680718201,NA,0,NA,NA,NA
"Bexley",78,25,"Theft and Related Offences","Burwood Hospital",4403.24043569946,"Christchurch Hospital",7079.44752082832,"Tuarangi Home",88178.3779916309,"Burwood Hospital",4403.24043569946,"Christchurch Hospital",7079.44752082832,"The Princess Margaret Hospital",9461.04127835861,"Burwood Hospital",4403.24043569946,"Burwood Hospital",4403.24043569946,NA,0,NA,NA,NA
"Bishopdale",67,85,"Unlawful Entry With Intent/Burglary, Break and Enter","Nurse Maude Hospice",3450.88553545077,"Christchurch Hospital",5399.86356995861,"Tuarangi Home",81065.0897403432,"Burwood Hospital",7986.09246595255,"St George's Hospital",3179.17689380786,"Hillmorton Hospital",6533.46695460573,"Burwood Hospital",7986.09246595255,"St George's Hospital",3179.17689380786,NA,0,NA,NA,NA
"Bishopdale North",133,95,"Theft and Related Offences","Nurse Maude Hospice",4996.94539436513,"Christchurch Hospital",7106.65097072437,"Tuarangi Home",81359.1262366761,"Burwood Hospital",8605.83187450267,"St George's Hospital",4731.33046248527,"Hillmorton Hospital",8188.98148373238,"Burwood Hospital",8605.83187450267,"St George's Hospital",4731.33046248527,5.5,2,0,0,0
"Bromley",139,130,"Theft and Related Offences","Southern Cross Hospital Christchurch",5304.48626181054,"Christchurch Hospital",5826.68199525544,"Tuarangi Home",86340.580342002,"Burwood Hospital",5976.65944858873,"Christchurch Hospital",5826.68199525544,"The Princess Margaret Hospital",7474.55364715868,"Burwood Hospital",5976.65944858873,"Forte Health Hospital",4910.49243115552,3,1,0,0,0
"Broomfield",69,23,"Unlawful Entry With Intent/Burglary, Break and Enter","Nurse Maude Hospice",6957.93304638038,"Christchurch Hospital",7000.45815562921,"Tuarangi Home",75887.427633464,"Burwood Hospital",12701.6439657531,"St George's Hospital",6770.4180214642,"Hillmorton Hospital",5437.40218201646,"Burwood Hospital",12701.6439657531,"St George's Hospital",6770.4180214642,NA,0,NA,NA,NA
"Bryndwr",57,38,"Theft and Related Offences","Nurse Maude Hospice",2159.88322415992,"Christchurch Hospital",3276.78649560031,"Tuarangi Home",80525.6236708011,"Burwood Hospital",7914.48062141095,"St George's Hospital",1954.40545352609,"Hillmorton Hospital",4363.31966735181,"Burwood Hospital",7914.48062141095,"St George's Hospital",1954.40545352609,10,1,0,0,0
"Burnham Military Camp",18,6,"Theft and Related Offences","Ellesmere Hospital",15616.5512675796,"Christchurch Hospital",27065.4830106356,"Tuarangi Home",54972.1453624107,"Ellesmere Hospital",15616.5512675796,"Lincoln Maternity Hospital",14616.0849581282,"Hillmorton Hospital",24166.6888043896,"Burwood Hospital",33710.7213483957,"Christchurch Hospital",27065.4830106356,9,1,0,0,0
"Burnside",43,18,"Unlawful Entry With Intent/Burglary, Break and Enter","Nurse Maude Hospice",4161.42658158853,"Christchurch Hospital",5505.55109832089,"Tuarangi Home",79595.240012773,"Burwood Hospital",9302.43129335862,"St George's Hospital",3904.43260073226,"Hillmorton Hospital",5879.34589530151,"Burwood Hospital",9302.43129335862,"St George's Hospital",3904.43260073226,NA,0,NA,NA,NA
"Burwood",43,21,"Acts Intended to Cause Injury","Burwood Hospital",2900.60089870292,"Christchurch Hospital",4822.74551461882,"Tuarangi Home",86093.0353622554,"Burwood Hospital",2900.60089870292,"St George's Hospital",4180.68329665588,"Hillmorton Hospital",7968.58220117566,"Burwood Hospital",2900.60089870292,"Burwood Hospital",2900.60089870292,1,0,0,0,1
"Camside",5,1,"Theft and Related Offences","Burwood Hospital",11277.406535977,"Christchurch Hospital",17814.8144484781,"Tuarangi Home",95221.6602043455,"Burwood Hospital",11277.406535977,"Rangiora Hospital",12756.4450925139,"Hillmorton Hospital",20558.1559411522,"Burwood Hospital",11277.406535977,"Burwood Hospital",11277.406535977,NA,0,NA,NA,NA
"Casebrook",82,136,"Theft and Related Offences","Nurse Maude Hospice",3314.59707886427,"Christchurch Hospital",5690.56411747893,"Tuarangi Home",82451.7993863747,"Burwood Hospital",6819.01679246533,"St George's Hospital",3070.26944874619,"Hillmorton Hospital",7394.52700812,"Burwood Hospital",6819.01679246533,"St George's Hospital",3070.26944874619,6,0,0,0,1
"Cashmere East",79,66,"Theft and Related Offences","Christchurch Hospital",6213.54146914183,"Christchurch Hospital",6213.54146914183,"Tuarangi Home",79653.2372227598,"Burwood Hospital",12303.2894465646,"Christchurch Hospital",6213.54146914183,"The Princess Margaret Hospital",2645.82738175991,"Burwood Hospital",12303.2894465646,"Christchurch Hospital",6213.54146914183,10,1,0,0,0
"Cashmere West",112,126,"Theft and Related Offences","Christchurch Hospital",5137.81531955653,"Christchurch Hospital",5137.81531955653,"Tuarangi Home",79551.3528804949,"Burwood Hospital",11559.6758365075,"Christchurch Hospital",5137.81531955653,"The Princess Margaret Hospital",1539.59978428219,"Burwood Hospital",11559.6758365075,"Christchurch Hospital",5137.81531955653,10,1,0,0,0
"Cathedral Square",515,1612,"Theft and Related Offences","Christchurch Hospital",1097.29040454463,"Christchurch Hospital",1097.29040454463,"Tuarangi Home",82172.3016701095,"Burwood Hospital",6988.78951855864,"Christchurch Hospital",1097.29040454463,"Hillmorton Hospital",3937.94242148136,"Burwood Hospital",6988.78951855864,"Forte Health Hospital",1069.85662561215,6.6,1,3,1,0
"Chertsey",120,8,"Theft and Related Offences","Ashburton Hospital",13245.0122127829,"Christchurch Hospital",68043.1759160761,"Tuarangi Home",13285.2218566456,"Tuarangi Home",13285.2218566456,"Ashburton Hospital",13245.0122127829,"Hillmorton Hospital",64951.740599427,"Burwood Hospital",75126.889042428,"Christchurch Hospital",68043.1759160761,8,3,0,0,0
"Cheviot",4,7,"Theft and Related Offences","Waikari Hospital",50156.7652829887,"Christchurch Hospital",95273.5390698666,"Tuarangi Home",172186.867379842,"Waikari Hospital",50156.7652829887,"Kaikoura Hospital",56932.7783791008,"Hillmorton Hospital",98317.0131722038,"Burwood Hospital",87835.3058580372,"Burwood Hospital",87835.3058580372,4,0,0,1,0
"Clarkville",138,31,"Theft and Related Offences","Burwood Hospital",9599.6867403839,"Christchurch Hospital",14773.7022830328,"Tuarangi Home",90704.725203417,"Burwood Hospital",9599.6867403839,"St George's Hospital",12144.8742752426,"Hillmorton Hospital",17186.1699877218,"Burwood Hospital",9599.6867403839,"Burwood Hospital",9599.6867403839,10,1,0,0,0
"Coldstream",44,7,"Theft and Related Offences","Rangiora Hospital",5791.34089701444,"Christchurch Hospital",26883.8294313868,"Tuarangi Home",100009.018131417,"Burwood Hospital",20962.6200615542,"Rangiora Hospital",5791.34089701444,"Hillmorton Hospital",29309.4719844985,"Burwood Hospital",20962.6200615542,"Burwood Hospital",20962.6200615542,NA,0,NA,NA,NA
"Courtenay",2,NA,NA,"Burwood Hospital",10434.1301498452,"Christchurch Hospital",16264.2617700948,"Tuarangi Home",92708.7264210772,"Burwood Hospital",10434.1301498452,"Rangiora Hospital",12390.9746668543,"Hillmorton Hospital",18821.5380594122,"Burwood Hospital",10434.1301498452,"Burwood Hospital",10434.1301498452,NA,0,NA,NA,NA
"Culverden",12,4,"Theft and Related Offences","Waikari Hospital",24594.0462677616,"Christchurch Hospital",85810.0138391588,"Tuarangi Home",153223.660309166,"Waikari Hospital",24594.0462677616,"Rangiora Hospital",60310.0180258875,"Hillmorton Hospital",88365.089081848,"Burwood Hospital",79227.4178069317,"Burwood Hospital",79227.4178069317,8,0,0,1,0
"Cust",8,3,"Theft and Related Offences","Rangiora Hospital",15774.7579021602,"Christchurch Hospital",30707.9475673523,"Tuarangi Home",84124.8546891208,"Oxford Hospital",16866.08815198,"Rangiora Hospital",15774.7579021602,"Hillmorton Hospital",31154.7732577104,"Burwood Hospital",29736.9234269329,"St George's Hospital",28298.6319911136,10,1,0,0,0
"Dallington",18,26,"Theft and Related Offences","Southern Cross Hospital Christchurch",3195.6038447061,"Christchurch Hospital",4446.43008775373,"Tuarangi Home",85769.2022512926,"Burwood Hospital",3721.38121193277,"St George's Hospital",4361.56369799311,"Hillmorton Hospital",7550.50108575739,"Burwood Hospital",3721.38121193277,"Forte Health Hospital",3135.49522918389,4,1,0,0,0
"Darfield",14,22,"Theft and Related Offences","Darfield Hospital",628.026371098558,"Christchurch Hospital",41769.1935894444,"Tuarangi Home",54565.2255411377,"Darfield Hospital",628.026371098558,"Lincoln Maternity Hospital",34551.370408747,"Hillmorton Hospital",39749.554847062,"Burwood Hospital",46212.0585331988,"St George's Hospital",41086.8804005448,8.5,1,1,0,0
"Deans Bush",50,35,"Theft and Related Offences","Christchurch Hospital",2541.40273094369,"Christchurch Hospital",2541.40273094369,"Tuarangi Home",79917.1455693523,"Burwood Hospital",8477.25445880075,"St George's Hospital",2468.47489279658,"Hillmorton Hospital",3155.84242575284,"Burwood Hospital",8477.25445880075,"St George's Hospital",2468.47489279658,10,0,1,0,0
"Diamond Harbour",18,7,"Acts Intended to Cause Injury","Christchurch Hospital",13743.0374168683,"Christchurch Hospital",13743.0374168683,"Tuarangi Home",82554.9056781907,"Burwood Hospital",17716.9752727815,"Christchurch Hospital",13743.0374168683,"The Princess Margaret Hospital",10714.0045857962,"Burwood Hospital",17716.9752727815,"Christchurch Hospital",13743.0374168683,10,1,0,0,0
"Dunsandel",11,6,"Theft and Related Offences","Ellesmere Hospital",14193.7467464895,"Christchurch Hospital",38092.3205976454,"Tuarangi Home",44076.0746137545,"Ellesmere Hospital",14193.7467464895,"Lincoln Maternity Hospital",24566.0725804692,"Hillmorton Hospital",35144.0338057656,"Burwood Hospital",44791.508135119,"Christchurch Hospital",38092.3205976454,9,1,0,0,0
"Duntroon",3,3,"Theft and Related Offences","Hospice South Canterbury",67047.7861755639,"Timaru Hospital",67282.663048968,"Tuarangi Home",135445.517159325,"Tuarangi Home",135445.517159325,"Timaru Hospital",67282.663048968,"Timaru Hospital",67282.663048968,"Burwood Hospital",220756.611723767,"Timaru Hospital",67282.663048968,NA,0,NA,NA,NA
"Edgeware",108,70,"Theft and Related Offences","Southern Cross Hospital Christchurch",1222.64519106265,"Christchurch Hospital",2771.95183408986,"Tuarangi Home",83964.5546584227,"Burwood Hospital",4710.10762307171,"St George's Hospital",2353.31100734604,"Hillmorton Hospital",5907.05743457324,"Burwood Hospital",4710.10762307171,"Southern Cross Hospital Christchurch",1222.64519106265,NA,0,NA,NA,NA
"Ensors",98,104,"Theft and Related Offences","Christchurch Hospital",3558.97821709723,"Christchurch Hospital",3558.97821709723,"Tuarangi Home",83644.0377463267,"Burwood Hospital",7113.53284243586,"Christchurch Hospital",3558.97821709723,"The Princess Margaret Hospital",4820.11579223863,"Burwood Hospital",7113.53284243586,"Forte Health Hospital",3134.79115613055,2,1,0,0,0
"Eyrewell",15,3,"Unlawful Entry With Intent/Burglary, Break and Enter","Oxford Hospital",17082.754732328,"Christchurch Hospital",26446.5577382183,"Tuarangi Home",76372.9168667417,"Oxford Hospital",17082.754732328,"Rangiora Hospital",20800.8087368375,"Hillmorton Hospital",26120.4205308445,"Burwood Hospital",27504.8013479769,"St George's Hospital",24467.2150931124,NA,0,NA,NA,NA
"Fairlie",5,11,"Unlawful Entry With Intent/Burglary, Break and Enter","Hospice South Canterbury",44457.2681599289,"Timaru Hospital",48503.6072041559,"Tuarangi Home",76941.3676392863,"Tuarangi Home",76941.3676392863,"Timaru Hospital",48503.6072041559,"Timaru Hospital",48503.6072041559,"Burwood Hospital",163824.379354047,"Bidwill Trust Hospital",46639.4393031742,7,2,1,0,0
"Fairton",17,6,"Unlawful Entry With Intent/Burglary, Break and Enter","Ashburton Hospital",4554.04313725531,"Timaru Hospital",72946.0176473697,"Tuarangi Home",4703.23843581429,"Tuarangi Home",4703.23843581429,"Ashburton Hospital",4554.04313725531,"Timaru Hospital",72946.0176473697,"Burwood Hospital",83726.2675180775,"Bidwill Trust Hospital",72417.7365178688,6,1,0,0,0
"Fairview-Scarborough",31,3,"Unlawful Entry With Intent/Burglary, Break and Enter","Timaru Hospital",2588.23255411635,"Timaru Hospital",2588.23255411635,"Tuarangi Home",70846.0696029743,"Tuarangi Home",70846.0696029743,"Timaru Hospital",2588.23255411635,"Timaru Hospital",2588.23255411635,"Burwood Hospital",156300.727673937,"Timaru Hospital",2588.23255411635,9,1,0,0,0
"Fendalton",76,90,"Theft and Related Offences","Nurse Maude Hospice",3122.24748570615,"Christchurch Hospital",3757.30657632376,"Tuarangi Home",79544.6962142325,"Burwood Hospital",8906.26432174495,"St George's Hospital",2932.14128888606,"Hillmorton Hospital",4055.99704929638,"Burwood Hospital",8906.26432174495,"St George's Hospital",2932.14128888606,7,3,0,0,1
"Fernside",60,4,"Unlawful Entry With Intent/Burglary, Break and Enter","Rangiora Hospital",4720.20053718773,"Christchurch Hospital",25263.4340777619,"Tuarangi Home",91599.1144071337,"Burwood Hospital",21720.8992170831,"Rangiora Hospital",4720.20053718773,"Hillmorton Hospital",26832.6213097159,"Burwood Hospital",21720.8992170831,"Burwood Hospital",21720.8992170831,10,1,0,0,0
"Ferrymead",95,137,"Theft and Related Offences","Southern Cross Hospital Christchurch",5526.48942327918,"Christchurch Hospital",5540.08091466393,"Tuarangi Home",85082.332515088,"Burwood Hospital",7515.79845075617,"Christchurch Hospital",5540.08091466393,"The Princess Margaret Hospital",6216.6965990038,"Burwood Hospital",7515.79845075617,"Forte Health Hospital",4989.38791144669,3.5,2,0,0,0
"Fraser Park",51,15,"Theft and Related Offences","Hospice South Canterbury",1748.35100457609,"Timaru Hospital",2339.01970814174,"Tuarangi Home",68367.8109996859,"Tuarangi Home",68367.8109996859,"Timaru Hospital",2339.01970814174,"Timaru Hospital",2339.01970814174,"Burwood Hospital",154192.859601917,"Bidwill Trust Hospital",740.076500822136,6,1,1,0,0
"Geraldine",32,14,"Theft and Related Offences","Hospice South Canterbury",32597.2606623736,"Timaru Hospital",35023.1868699386,"Tuarangi Home",45752.7267158588,"Tuarangi Home",45752.7267158588,"Timaru Hospital",35023.1868699386,"Timaru Hospital",35023.1868699386,"Burwood Hospital",134041.813421081,"Bidwill Trust Hospital",33491.3425446314,8,1,1,0,0
"Gleniti",9,1,"Sexual Assault and Related Offences","Hospice South Canterbury",1344.19813075648,"Timaru Hospital",5244.67154824946,"Tuarangi Home",69208.007733481,"Tuarangi Home",69208.007733481,"Timaru Hospital",5244.67154824946,"Timaru Hospital",5244.67154824946,"Burwood Hospital",155563.359636061,"Bidwill Trust Hospital",3616.74591175009,9,1,0,0,0
"Glenwood",22,15,"Theft and Related Offences","Hospice South Canterbury",485.350337011046,"Timaru Hospital",4375.27588529446,"Tuarangi Home",68809.1741884963,"Tuarangi Home",68809.1741884963,"Timaru Hospital",4375.27588529446,"Timaru Hospital",4375.27588529446,"Burwood Hospital",155020.636838709,"Bidwill Trust Hospital",2709.36868446427,NA,0,NA,NA,NA
"Governors Bay",58,9,"Theft and Related Offences","Christchurch Hospital",11740.3474784342,"Christchurch Hospital",11740.3474784342,"Tuarangi Home",77602.970371593,"Burwood Hospital",17670.13571145,"Christchurch Hospital",11740.3474784342,"The Princess Margaret Hospital",7761.05302673462,"Burwood Hospital",17670.13571145,"Christchurch Hospital",11740.3474784342,10,1,0,0,0
"Hagley Park",176,306,"Theft and Related Offences","Christchurch Hospital",635.96067520171,"Christchurch Hospital",635.96067520171,"Tuarangi Home",81666.0428148654,"Burwood Hospital",6987.44786412873,"Christchurch Hospital",635.96067520171,"Hillmorton Hospital",3611.31281900605,"Burwood Hospital",6987.44786412873,"Christchurch Hospital",635.96067520171,10,1,1,0,0
"Halswell Domain",14,30,"Theft and Related Offences","Christchurch Hospital",6814.48519092916,"Christchurch Hospital",6814.48519092916,"Tuarangi Home",74894.0142807221,"Burwood Hospital",14292.921400483,"Christchurch Hospital",6814.48519092916,"Hillmorton Hospital",3720.47605398786,"Burwood Hospital",14292.921400483,"Christchurch Hospital",6814.48519092916,NA,0,NA,NA,NA
