HourOfDay,DayOfWeek,CrimeType,AreaUnit,Victimisations,Year,Month
20,Fri,Theft and Related Offences,Avonhead West,1,2021,1
20,Fri,Theft and Related Offences,Barrington North,1,2021,1
20,Fri,Theft and Related Offences,Oaklands East,1,2021,1
13,Tue,Theft and Related Offences,Aranui,1,2021,5
0,Tue,Theft and Related Offences,Sydenham,1,2021,6
10,Tue,Theft and Related Offences,Mairehau North,1,2021,6
11,Tue,Theft and Related Offences,Hagley Park,1,2021,6
23,Fri,Theft and Related Offences,Barrington North,1,2021,1
23,Fri,Theft and Related Offences,Styx Mill,1,2021,1
4,Fri,Theft and Related Offences,Prestons,1,2021,1
7,Fri,Theft and Related Offences,Barrington North,1,2021,1
23,Sat,Theft and Related Offences,Middleton,1,2020,11
5,Sat,Theft and Related Offences,Rolleston North East,1,2020,11
6,Sat,Theft and Related Offences,Rolleston North East,1,2020,11
7,Sat,Theft and Related Offences,Bromley,1,2020,11
7,Sat,Theft and Related Offences,Kaiapoi South,1,2020,11
18,Thu,Acts Intended to Cause Injury,Shirley East,1,2021,4
8,Thu,Acts Intended to Cause Injury,Fendalton,1,2021,4
12,Thu,Acts Intended to Cause Injury,Islington,1,2021,5
23,Thu,Acts Intended to Cause Injury,Templeton,1,2021,5
9,Sat,Theft and Related Offences,Middleton,1,2020,11
1,Sat,Theft and Related Offences,Somerfield,1,2020,12
10,Sat,Theft and Related Offences,Hornby South,1,2020,12
11,Sat,Theft and Related Offences,Wigram,1,2020,12
11,Thu,Acts Intended to Cause Injury,Seaview,1,2021,6
22,Thu,Acts Intended to Cause Injury,Lyttelton,1,2021,6
7,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2021,6
0,Thu,Acts Intended to Cause Injury,Mona Vale,1,2021,7
11,Tue,Theft and Related Offences,Sumner,1,2021,6
16,Tue,Theft and Related Offences,Russley,1,2021,6
4,Tue,Theft and Related Offences,Jellie Park,1,2021,6
6,Tue,Theft and Related Offences,Ensors,1,2021,6
7,Fri,Theft and Related Offences,Shirley East,1,2021,1
8,Fri,Theft and Related Offences,Woolston West,1,2021,1
9,Fri,Theft and Related Offences,Halswell Domain,1,2021,1
9,Fri,Theft and Related Offences,Seaview,1,2021,1
12,Sat,Theft and Related Offences,Linwood,1,2020,12
12,Sat,Theft and Related Offences,Oaklands East,1,2020,12
12,Sat,Theft and Related Offences,Rawhiti,1,2020,12
12,Sat,Theft and Related Offences,Shirley East,1,2020,12
9,Tue,Theft and Related Offences,Islington,1,2021,6
0,Tue,Theft and Related Offences,Halswell South,1,2021,7
2,Tue,Theft and Related Offences,Ensors,1,2021,7
2,Tue,Theft and Related Offences,Waimataitai,1,2021,7
14,Fri,Theft and Related Offences,Shirley East,1,2020,9
14,Fri,Theft and Related Offences,Spreydon,1,2020,9
15,Fri,Theft and Related Offences,Bishopdale,1,2020,9
15,Fri,Theft and Related Offences,Linwood East,1,2020,9
13,Sat,Theft and Related Offences,Cathedral Square,1,2020,12
13,Sat,Theft and Related Offences,Merivale,1,2020,12
13,Sat,Theft and Related Offences,Woolston West,1,2020,12
14,Sat,Theft and Related Offences,Cathedral Square,1,2020,12
16,Fri,Theft and Related Offences,Cathedral Square,1,2020,9
16,Fri,Theft and Related Offences,Riccarton,1,2020,9
16,Fri,Theft and Related Offences,Sydenham,1,2020,9
17,Fri,Theft and Related Offences,Mona Vale,1,2020,9
11,Thu,Acts Intended to Cause Injury,Papanui,1,2021,7
16,Thu,Acts Intended to Cause Injury,Jellie Park,1,2021,8
17,Thu,Acts Intended to Cause Injury,Shirley East,1,2021,2
15,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2021,3
13,Thu,Acts Intended to Cause Injury,Middleton,1,2021,5
23,Thu,Acts Intended to Cause Injury,Wharenui,1,2021,5
10,Thu,Acts Intended to Cause Injury,Yaldhurst,1,2021,8
19,Thu,Acts Intended to Cause Injury,Waimataitai,1,2021,2
15,Sat,Theft and Related Offences,Cathedral Square,1,2020,12
15,Sat,Theft and Related Offences,Opawa,1,2020,12
16,Sat,Theft and Related Offences,Sydenham,1,2020,12
17,Sat,Theft and Related Offences,Addington,1,2020,12
17,Fri,Theft and Related Offences,Rawhiti,1,2020,9
17,Fri,Theft and Related Offences,Wainoni,1,2020,9
18,Fri,Theft and Related Offences,Linwood East,1,2020,9
18,Fri,Theft and Related Offences,Shirley East,1,2020,9
8,Tue,Theft and Related Offences,Rolleston South East,1,2021,7
13,Tue,Theft and Related Offences,Riccarton West,1,2021,5
20,Tue,Theft and Related Offences,Opawa,1,2021,5
12,Tue,Theft and Related Offences,Fendalton,1,2021,6
19,Fri,Theft and Related Offences,Hoon Hay,1,2020,9
19,Fri,Theft and Related Offences,Hornby North,1,2020,9
19,Fri,Theft and Related Offences,Moncks Bay,1,2020,9
19,Fri,Theft and Related Offences,Riccarton,1,2020,9
10,Thu,Acts Intended to Cause Injury,Lincoln,1,2021,4
10,Thu,Acts Intended to Cause Injury,Richmond South,1,2021,5
16,Thu,Acts Intended to Cause Injury,Linwood East,1,2021,6
12,Thu,Acts Intended to Cause Injury,Pleasant Point,1,2021,6
17,Sat,Theft and Related Offences,Barrington North,1,2020,12
18,Sat,Theft and Related Offences,Sydenham,1,2020,12
18,Sat,Theft and Related Offences,Wigram,1,2020,12
19,Sat,Theft and Related Offences,Bishopdale North,1,2020,12
12,Tue,Theft and Related Offences,Russley,1,2021,6
17,Tue,Theft and Related Offences,Sydenham,1,2021,6
22,Tue,Theft and Related Offences,Wharenui,1,2021,6
23,Tue,Theft and Related Offences,Cathedral Square,1,2021,6
20,Sat,Theft and Related Offences,Avonside,1,2020,12
20,Sat,Theft and Related Offences,Barrington North,1,2020,12
20,Sat,Theft and Related Offences,Kaiapoi South,1,2020,12
22,Sat,Theft and Related Offences,Belfast,1,2020,12
19,Fri,Theft and Related Offences,Shirley East,1,2020,9
2,Fri,Theft and Related Offences,Shirley East,1,2020,9
2,Fri,Theft and Related Offences,Upper Riccarton,1,2020,9
20,Fri,Theft and Related Offences,Sydenham,1,2020,9
16,Thu,Acts Intended to Cause Injury,Somerfield,2,2021,6
10,Thu,Acts Intended to Cause Injury,Cathedral Square,2,2021,6
15,Tue,Acts Intended to Cause Injury,Spreydon,1,2021,1
16,Tue,Acts Intended to Cause Injury,Cathedral Square,1,2021,1
6,Tue,Theft and Related Offences,Riccarton South,1,2021,6
8,Tue,Theft and Related Offences,Linwood,1,2021,6
8,Tue,Theft and Related Offences,Merrin,1,2021,6
8,Tue,Theft and Related Offences,Rolleston South East,1,2021,6
22,Fri,Theft and Related Offences,Northcote,1,2020,9
6,Fri,Theft and Related Offences,Hoon Hay,1,2020,9
6,Fri,Theft and Related Offences,Linwood East,1,2020,9
8,Fri,Theft and Related Offences,Linwood East,1,2020,9
0,Tue,Theft and Related Offences,Ashburton Central East,1,2021,7
13,Tue,Theft and Related Offences,Hagley Park,1,2021,7
13,Tue,Theft and Related Offences,Hagley Park,1,2021,7
16,Tue,Theft and Related Offences,Rapaki Track,1,2021,7
18,Tue,Acts Intended to Cause Injury,Wairarapa,1,2021,1
10,Tue,Acts Intended to Cause Injury,North Beach,1,2021,2
10,Tue,Acts Intended to Cause Injury,Riccarton,1,2021,3
14,Tue,Acts Intended to Cause Injury,Islington,1,2021,3
22,Sat,Theft and Related Offences,Hillmorton,1,2020,12
22,Sat,Theft and Related Offences,Hornby North,1,2020,12
22,Sat,Theft and Related Offences,Sydenham,1,2020,12
4,Sat,Theft and Related Offences,Cathedral Square,1,2020,12
6,Sat,Theft and Related Offences,Avonhead West,1,2020,12
6,Sat,Theft and Related Offences,Bromley,1,2020,12
1,Sat,Theft and Related Offences,Cathedral Square,1,2021,1
10,Sat,Theft and Related Offences,Fendalton,1,2021,1
9,Fri,Theft and Related Offences,Cathedral Square,1,2020,9
9,Fri,Theft and Related Offences,Linwood East,1,2020,9
10,Fri,Theft and Related Offences,Sydenham,1,2020,9
10,Fri,Theft and Related Offences,Twizel Community,1,2020,9
17,Tue,Theft and Related Offences,Ensors,1,2021,7
5,Tue,Theft and Related Offences,Glenwood,1,2021,7
6,Tue,Theft and Related Offences,Cashmere West,1,2021,7
6,Tue,Theft and Related Offences,Cashmere West,1,2021,7
13,Tue,Acts Intended to Cause Injury,Cathedral Square,1,2021,4
15,Tue,Acts Intended to Cause Injury,Papanui,1,2021,4
16,Tue,Acts Intended to Cause Injury,Fairlie,1,2021,4
21,Tue,Acts Intended to Cause Injury,Seaview,1,2021,4
17,Tue,Acts Intended to Cause Injury,Waimate,1,2021,5
19,Tue,Acts Intended to Cause Injury,Riccarton,1,2021,5
21,Tue,Acts Intended to Cause Injury,Northcote,1,2021,5
5,Tue,Acts Intended to Cause Injury,Allenton West,1,2021,5
9,Tue,Acts Intended to Cause Injury,Bromley,1,2021,5
3,Tue,Theft and Related Offences,Coldstream,2,2021,6
13,Tue,Theft and Related Offences,Washdyke,2,2021,5
17,Tue,Theft and Related Offences,Cashmere East,2,2021,5
14,Tue,Theft and Related Offences,Edgeware,2,2021,6
10,Sat,Theft and Related Offences,Linwood East,1,2021,1
10,Sat,Theft and Related Offences,Sockburn,1,2021,1
10,Sat,Theft and Related Offences,Rangiora Central,1,2021,1
11,Sat,Theft and Related Offences,Linwood North,1,2021,1
11,Fri,Theft and Related Offences,Richmond South,1,2020,9
11,Fri,Theft and Related Offences,Sydenham,1,2020,9
11,Fri,Theft and Related Offences,Highfield,1,2020,9
11,Fri,Theft and Related Offences,Parkside,1,2020,9
11,Sat,Theft and Related Offences,Middleton,1,2021,1
11,Sat,Theft and Related Offences,Rawhiti,1,2021,1
12,Sat,Theft and Related Offences,Riccarton,1,2021,1
13,Sat,Theft and Related Offences,Barrington North,1,2021,1
10,Tue,Acts Intended to Cause Injury,Sockburn,1,2021,6
11,Tue,Acts Intended to Cause Injury,Merivale,1,2021,6
13,Tue,Acts Intended to Cause Injury,Washdyke,1,2021,6
11,Tue,Acts Intended to Cause Injury,North Beach,1,2021,7
7,Tue,Theft and Related Offences,Cathedral Square,2,2021,7
10,Tue,Theft and Related Offences,Redwood South,1,2021,5
11,Tue,Theft and Related Offences,Merrin,1,2021,5
11,Tue,Theft and Related Offences,Mona Vale,1,2021,5
12,Fri,Theft and Related Offences,Cathedral Square,1,2020,9
12,Fri,Theft and Related Offences,Cathedral Square,1,2020,9
12,Fri,Theft and Related Offences,Linwood East,1,2020,9
12,Fri,Theft and Related Offences,Northcote,1,2020,9
18,Tue,Acts Intended to Cause Injury,Riccarton,1,2021,7
18,Tue,Acts Intended to Cause Injury,Rolleston North East,1,2021,7
8,Tue,Acts Intended to Cause Injury,Mona Vale,1,2021,7
9,Tue,Acts Intended to Cause Injury,Rutland,1,2021,7
14,Tue,Theft and Related Offences,Cathedral Square,1,2021,5
4,Tue,Theft and Related Offences,Cathedral Square,1,2021,5
13,Tue,Theft and Related Offences,Marchwiel,1,2021,6
14,Tue,Theft and Related Offences,Linwood,1,2021,6
16,Tue,Theft and Related Offences,Linwood East,1,2021,6
17,Tue,Theft and Related Offences,Mairehau,1,2021,6
17,Tue,Theft and Related Offences,Seaview,1,2021,6
11,Tue,Theft and Related Offences,Aranui,1,2021,7
0,Tue,Acts Intended to Cause Injury,Cathedral Square,1,2021,2
15,Tue,Acts Intended to Cause Injury,Rolleston Central,1,2021,3
18,Tue,Acts Intended to Cause Injury,Chertsey,1,2021,3
11,Tue,Acts Intended to Cause Injury,Edgeware,1,2021,5
13,Sat,Theft and Related Offences,Barrington North,1,2021,1
13,Sat,Theft and Related Offences,Fendalton,1,2021,1
13,Sat,Theft and Related Offences,Shirley East,1,2021,1
14,Sat,Theft and Related Offences,Redruth,1,2021,1
15,Sat,Theft and Related Offences,Barrington North,1,2021,1
15,Sat,Theft and Related Offences,Redwood South,1,2021,1
15,Sat,Theft and Related Offences,Riccarton South,1,2021,1
15,Sat,Theft and Related Offences,Culverden,1,2021,1
12,Fri,Theft and Related Offences,Riccarton,1,2020,9
12,Fri,Theft and Related Offences,Richmond South,1,2020,9
12,Fri,Theft and Related Offences,Sydenham,1,2020,9
12,Fri,Theft and Related Offences,Highfield,1,2020,9
13,Tue,Theft and Related Offences,Waimairi Beach,1,2021,7
18,Tue,Theft and Related Offences,Phillipstown,1,2021,7
8,Tue,Theft and Related Offences,Hornby South,1,2021,7
9,Tue,Theft and Related Offences,Casebrook,1,2021,7
13,Fri,Theft and Related Offences,Papanui,1,2020,9
13,Fri,Theft and Related Offences,Shirley East,1,2020,9
14,Fri,Theft and Related Offences,Barrington North,1,2020,9
14,Fri,Theft and Related Offences,Cathedral Square,1,2020,9
20,Tue,Acts Intended to Cause Injury,Cathedral Square,1,2021,7
18,Tue,Acts Intended to Cause Injury,Woolston South,1,2021,1
18,Tue,Acts Intended to Cause Injury,Ferrymead,1,2021,7
15,Tue,Acts Intended to Cause Injury,Templeton,1,2021,1
21,Tue,Acts Intended to Cause Injury,Linwood East,1,2021,3
14,Tue,Acts Intended to Cause Injury,Rangiora East,1,2021,5
19,Tue,Acts Intended to Cause Injury,Seaview,1,2021,1
19,Tue,Acts Intended to Cause Injury,Cathedral Square,1,2021,2
16,Sat,Theft and Related Offences,Addington,1,2021,1
16,Sat,Theft and Related Offences,Northcote,1,2021,1
16,Sat,Theft and Related Offences,Riccarton,1,2021,1
16,Sat,Theft and Related Offences,Shirley East,1,2021,1
14,Fri,Theft and Related Offences,Northcote,1,2020,9
10,Fri,Theft and Related Offences,Mona Vale,1,2020,10
10,Fri,Theft and Related Offences,Riccarton,1,2020,10
10,Fri,Theft and Related Offences,Shirley East,1,2020,10
10,Tue,Acts Intended to Cause Injury,Riccarton,1,2021,3
19,Tue,Acts Intended to Cause Injury,Linwood East,1,2021,3
23,Tue,Acts Intended to Cause Injury,Kaikoura Township,1,2021,3
8,Tue,Acts Intended to Cause Injury,Parnassus,2,2021,1
11,Fri,Theft and Related Offences,Casebrook,1,2020,10
11,Fri,Theft and Related Offences,Cathedral Square,1,2020,10
11,Fri,Theft and Related Offences,Shirley East,1,2020,10
11,Fri,Theft and Related Offences,Southbrook,1,2020,10
17,Sat,Theft and Related Offences,Merivale,1,2021,1
17,Sat,Theft and Related Offences,Sydenham,1,2021,1
18,Sat,Theft and Related Offences,Northcote,1,2021,1
18,Sat,Theft and Related Offences,Woolston West,1,2021,1
12,Fri,Theft and Related Offences,Hornby North,1,2020,10
12,Fri,Theft and Related Offences,Linwood East,1,2020,10
12,Fri,Theft and Related Offences,Spreydon,1,2020,10
13,Fri,Theft and Related Offences,Casebrook,1,2020,10
2,Sat,Theft and Related Offences,Addington,1,2021,1
21,Sat,Theft and Related Offences,Sockburn,1,2021,1
21,Sat,Theft and Related Offences,St Martins,1,2021,1
5,Sat,Theft and Related Offences,Woolston West,1,2021,1
6,Sat,Theft and Related Offences,Middleton,1,2021,1
8,Sat,Theft and Related Offences,Avonhead West,1,2021,1
9,Sat,Theft and Related Offences,Oaklands East,1,2021,1
9,Sat,Theft and Related Offences,Waimataitai,1,2021,1
13,Fri,Theft and Related Offences,Cathedral Square,1,2020,10
13,Fri,Theft and Related Offences,Linwood East,1,2020,10
13,Fri,Theft and Related Offences,Papanui,1,2020,10
13,Fri,Theft and Related Offences,St Albans East,1,2020,10
10,Sat,Theft and Related Offences,Avon Loop,1,2020,9
10,Sat,Theft and Related Offences,Fendalton,1,2020,9
10,Sat,Theft and Related Offences,Linwood East,1,2020,9
10,Sat,Theft and Related Offences,Phillipstown,1,2020,9
10,Sat,Theft and Related Offences,Riccarton,1,2020,9
10,Sat,Theft and Related Offences,Highfield,1,2020,9
11,Sat,Theft and Related Offences,Ashburton Central West,1,2020,9
11,Sat,Theft and Related Offences,Riccarton,1,2020,9
12,Sat,Theft and Related Offences,Cathedral Square,1,2020,9
12,Sat,Theft and Related Offences,Cathedral Square,1,2020,9
12,Sat,Theft and Related Offences,Cathedral Square,1,2020,9
12,Sat,Theft and Related Offences,Hornby North,1,2020,9
13,Fri,Theft and Related Offences,Sydenham,1,2020,10
13,Fri,Theft and Related Offences,Rolleston North East,1,2020,10
14,Fri,Theft and Related Offences,Ashburton Central East,1,2020,10
14,Fri,Theft and Related Offences,Northcote,1,2020,10
12,Sat,Theft and Related Offences,Riccarton,1,2020,9
12,Sat,Theft and Related Offences,Richmond South,1,2020,9
12,Sat,Theft and Related Offences,Sockburn,1,2020,9
12,Sat,Theft and Related Offences,Yaldhurst,1,2020,9
14,Sat,Theft and Related Offences,Bishopdale,1,2020,9
14,Sat,Theft and Related Offences,Bryndwr,1,2020,9
14,Sat,Theft and Related Offences,Linwood East,1,2020,9
14,Sat,Theft and Related Offences,Riccarton,1,2020,9
14,Fri,Theft and Related Offences,Sockburn,1,2020,10
15,Fri,Theft and Related Offences,Cathedral Square,1,2020,10
15,Fri,Theft and Related Offences,Ferrymead,1,2020,10
15,Fri,Theft and Related Offences,Prestons,1,2020,10
14,Sat,Theft and Related Offences,Shirley East,1,2020,9
14,Sat,Theft and Related Offences,Wainoni,1,2020,9
14,Sat,Theft and Related Offences,Rolleston North East,1,2020,9
15,Sat,Theft and Related Offences,Cathedral Square,1,2020,9
15,Fri,Theft and Related Offences,Redwood South,1,2020,10
15,Fri,Theft and Related Offences,Shirley East,1,2020,10
15,Fri,Theft and Related Offences,Kaiapoi South,1,2020,10
16,Fri,Theft and Related Offences,Cathedral Square,1,2020,10
15,Sat,Theft and Related Offences,Halswell South,1,2020,9
15,Sat,Theft and Related Offences,Linwood East,1,2020,9
15,Sat,Theft and Related Offences,Sydenham,1,2020,9
16,Sat,Theft and Related Offences,Linwood East,1,2020,9
16,Fri,Theft and Related Offences,Hornby North,1,2020,10
16,Fri,Theft and Related Offences,Riccarton,1,2020,10
16,Fri,Theft and Related Offences,Sockburn,1,2020,10
16,Fri,Theft and Related Offences,Sydenham,1,2020,10
16,Sat,Theft and Related Offences,Northcote,1,2020,9
16,Sat,Theft and Related Offences,Richmond South,1,2020,9
16,Sat,Theft and Related Offences,Shirley East,1,2020,9
16,Sat,Theft and Related Offences,Upper Riccarton,1,2020,9
18,Sat,Theft and Related Offences,Northcote,1,2020,9
18,Sat,Theft and Related Offences,Shirley East,1,2020,9
19,Sat,Theft and Related Offences,Cathedral Square,1,2020,9
19,Sat,Theft and Related Offences,Hornby North,1,2020,9
17,Fri,Theft and Related Offences,Cathedral Square,1,2020,10
17,Fri,Theft and Related Offences,Redwood North,1,2020,10
17,Fri,Theft and Related Offences,Spreydon,1,2020,10
17,Fri,Theft and Related Offences,Upper Riccarton,1,2020,10
19,Sat,Theft and Related Offences,Northcote,1,2020,9
20,Sat,Theft and Related Offences,Shirley East,1,2020,9
20,Sat,Theft and Related Offences,Kaikoura Township,1,2020,9
21,Sat,Theft and Related Offences,Cathedral Square,1,2020,9
17,Fri,Theft and Related Offences,Rangiora North,1,2020,10
18,Fri,Theft and Related Offences,Cathedral Square,1,2020,10
18,Fri,Theft and Related Offences,Sockburn,1,2020,10
18,Fri,Theft and Related Offences,Strowan,1,2020,10
21,Sat,Theft and Related Offences,Shirley East,1,2020,9
22,Sat,Theft and Related Offences,Northcote,1,2020,9
5,Sat,Theft and Related Offences,Netherby,1,2020,9
8,Sat,Theft and Related Offences,Linwood,1,2020,9
18,Fri,Theft and Related Offences,Rolleston North East,1,2020,10
18,Fri,Theft and Related Offences,Seaview,1,2020,10
19,Fri,Theft and Related Offences,Northcote,1,2020,10
19,Fri,Theft and Related Offences,Shirley East,1,2020,10
8,Sat,Theft and Related Offences,Northcote,1,2020,9
8,Sat,Theft and Related Offences,Prestons,1,2020,9
9,Sat,Theft and Related Offences,Shirley East,1,2020,9
10,Sat,Theft and Related Offences,Shirley East,1,2020,10
19,Fri,Theft and Related Offences,Upper Riccarton,1,2020,10
2,Fri,Theft and Related Offences,Northcote,1,2020,10
20,Fri,Theft and Related Offences,Cathedral Square,1,2020,10
20,Fri,Theft and Related Offences,Linwood East,1,2020,10
11,Sat,Theft and Related Offences,Northcote,1,2020,10
11,Sat,Theft and Related Offences,Riccarton,1,2020,10
12,Sat,Theft and Related Offences,Linwood East,1,2020,10
12,Sat,Theft and Related Offences,Prestons,1,2020,10
22,Fri,Theft and Related Offences,Northcote,1,2020,10
6,Fri,Theft and Related Offences,Twizel Community,1,2020,10
9,Fri,Theft and Related Offences,Seaview,1,2020,10
13,Fri,Theft and Related Offences,Linwood East,1,2020,11
13,Fri,Theft and Related Offences,Papanui,1,2020,11
13,Fri,Theft and Related Offences,Rolleston North East,1,2020,11
14,Fri,Theft and Related Offences,Belfast,1,2020,11
14,Fri,Theft and Related Offences,Linwood East,1,2020,11
12,Sat,Theft and Related Offences,Riccarton,1,2020,10
12,Sat,Theft and Related Offences,Riccarton,1,2020,10
12,Sat,Theft and Related Offences,Richmond South,1,2020,10
12,Sat,Theft and Related Offences,Sockburn,1,2020,10
14,Fri,Theft and Related Offences,Northcote,1,2020,11
14,Fri,Theft and Related Offences,Shirley East,1,2020,11
14,Fri,Theft and Related Offences,Sydenham,1,2020,11
15,Fri,Theft and Related Offences,Bishopdale,1,2020,11
12,Sat,Theft and Related Offences,Waltham,1,2020,10
13,Sat,Theft and Related Offences,Cathedral Square,1,2020,10
13,Sat,Theft and Related Offences,Fendalton,1,2020,10
13,Sat,Theft and Related Offences,Spreydon,1,2020,10
15,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
15,Fri,Theft and Related Offences,Northcote,1,2020,11
15,Fri,Theft and Related Offences,Seaview,1,2020,11
16,Fri,Theft and Related Offences,Casebrook,1,2020,11
14,Sat,Theft and Related Offences,Casebrook,1,2020,10
14,Sat,Theft and Related Offences,Cathedral Square,1,2020,10
14,Sat,Theft and Related Offences,Ferrymead,1,2020,10
14,Sat,Theft and Related Offences,Hornby North,1,2020,10
16,Fri,Theft and Related Offences,Middleton,1,2020,11
16,Fri,Theft and Related Offences,Northcote,1,2020,11
17,Fri,Theft and Related Offences,Casebrook,1,2020,11
17,Fri,Theft and Related Offences,Clarkville,1,2020,11
14,Sat,Theft and Related Offences,Hornby North,1,2020,10
15,Sat,Theft and Related Offences,Cathedral Square,1,2020,10
15,Sat,Theft and Related Offences,Riccarton,1,2020,10
15,Sat,Theft and Related Offences,Spreydon,1,2020,10
18,Fri,Theft and Related Offences,Belfast,1,2020,11
18,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
18,Fri,Theft and Related Offences,Prestons,1,2020,11
18,Fri,Theft and Related Offences,Shirley East,1,2020,11
15,Sat,Theft and Related Offences,Southbrook,1,2020,10
16,Sat,Theft and Related Offences,Cathedral Square,1,2020,10
16,Sat,Theft and Related Offences,Middleton,1,2020,10
16,Sat,Theft and Related Offences,Northcote,1,2020,10
16,Sat,Theft and Related Offences,Redwood South,1,2020,10
17,Sat,Theft and Related Offences,Northcote,1,2020,10
17,Sat,Theft and Related Offences,Upper Riccarton,1,2020,10
17,Sat,Theft and Related Offences,Rolleston North East,1,2020,10
18,Fri,Theft and Related Offences,Rolleston North East,1,2020,11
19,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
19,Fri,Theft and Related Offences,Riccarton,1,2020,11
19,Fri,Theft and Related Offences,Spreydon,1,2020,11
18,Sat,Theft and Related Offences,Middleton,1,2020,10
19,Sat,Theft and Related Offences,Papanui,1,2020,10
21,Sat,Theft and Related Offences,Linwood East,1,2020,10
21,Sat,Theft and Related Offences,Rawhiti,1,2020,10
20,Fri,Theft and Related Offences,Belfast,1,2020,11
20,Fri,Theft and Related Offences,Riccarton,1,2020,11
20,Fri,Theft and Related Offences,Riccarton,1,2020,11
21,Fri,Theft and Related Offences,Northcote,1,2020,11
22,Sat,Theft and Related Offences,Cathedral Square,1,2020,10
23,Sat,Theft and Related Offences,Hornby South,1,2020,10
23,Sat,Theft and Related Offences,Middleton,1,2020,10
8,Sat,Theft and Related Offences,Cathedral Square,1,2020,10
22,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
22,Fri,Theft and Related Offences,Mona Vale,1,2020,11
22,Fri,Theft and Related Offences,Northcote,1,2020,11
8,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
8,Sat,Theft and Related Offences,Parkside,1,2020,10
9,Sat,Theft and Related Offences,Shirley East,1,2020,10
21,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
21,Sat,Theft and Related Offences,Shirley East,1,2020,11
8,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
8,Fri,Theft and Related Offences,Richmond South,1,2020,11
9,Fri,Theft and Related Offences,Linwood East,1,2020,11
10,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
21,Sat,Theft and Related Offences,Wainoni,1,2020,11
22,Sat,Theft and Related Offences,Riccarton,1,2020,11
9,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
9,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
10,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
10,Fri,Theft and Related Offences,Northcote,1,2020,11
10,Fri,Theft and Related Offences,Riccarton,1,2020,11
11,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
10,Sat,Theft and Related Offences,Northcote,1,2020,11
10,Sat,Theft and Related Offences,Shirley East,1,2020,11
11,Sat,Theft and Related Offences,Diamond Harbour,1,2020,11
11,Sat,Theft and Related Offences,Hornby North,1,2020,11
11,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
11,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
11,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
11,Fri,Theft and Related Offences,Hornby North,1,2020,11
11,Sat,Theft and Related Offences,Merivale,1,2020,11
11,Sat,Theft and Related Offences,Northcote,1,2020,11
11,Sat,Theft and Related Offences,Wigram,1,2020,11
11,Sat,Theft and Related Offences,Parkside,1,2020,11
12,Sat,Theft and Related Offences,Cashmere West,1,2020,11
12,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
12,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
12,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
12,Sat,Theft and Related Offences,Rangiora East,1,2020,11
13,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
13,Sat,Theft and Related Offences,Sydenham,1,2020,11
13,Sat,Theft and Related Offences,Seaview,1,2020,11
13,Sat,Theft and Related Offences,Kaiapoi South,1,2020,11
11,Fri,Theft and Related Offences,Spreydon,1,2020,11
11,Fri,Theft and Related Offences,Southbrook,1,2020,11
10,Fri,Theft and Related Offences,Cathedral Square,1,2020,12
10,Fri,Theft and Related Offences,Middleton,1,2020,12
14,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
14,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
14,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
14,Sat,Theft and Related Offences,Linwood East,1,2020,11
14,Sat,Theft and Related Offences,Seaview,1,2020,11
15,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
15,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
15,Sat,Theft and Related Offences,Northcote,1,2020,11
10,Fri,Theft and Related Offences,Northcote,1,2020,12
11,Fri,Theft and Related Offences,Northcote,1,2020,12
11,Fri,Theft and Related Offences,Spreydon,1,2020,12
12,Fri,Theft and Related Offences,Linwood East,1,2020,12
16,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
16,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
16,Sat,Theft and Related Offences,Riccarton South,1,2020,11
16,Sat,Theft and Related Offences,Riccarton,1,2020,11
12,Fri,Theft and Related Offences,Wainoni,1,2020,12
13,Fri,Theft and Related Offences,Riccarton,1,2020,12
13,Fri,Theft and Related Offences,Richmond South,1,2020,12
13,Fri,Theft and Related Offences,Southbrook,1,2020,12
17,Sat,Theft and Related Offences,Cathedral Square,1,2020,11
