Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations
3,Sun,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Avon Loop.,3,Canterbury Region,Christchurch City.,1/02/2021,2654400,Canterbury Region,Christchurch City,1
10,Tue,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Woolston South.,10,Canterbury Region,Christchurch City.,1/08/2021,2588500,Canterbury Region,Christchurch City,1
15,Sun,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Avon-Heathcote Estuary.,15,Canterbury Region,Christchurch City.,1/06/2021,,Canterbury Region,Christchurch City,2
0,Sun,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Richmond South.,0,Canterbury Region,Christchurch City.,1/09/2020,2692401,Canterbury Region,Christchurch City,1
14,Sat,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Cathedral Square.,14,Canterbury Region,Christchurch City.,1/10/2020,2653100,Canterbury Region,Christchurch City,1
13,Sat,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Linwood.,13,Canterbury Region,Christchurch City.,1/09/2020,2609100,Canterbury Region,Christchurch City,1
6,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Barrington South.,6,Canterbury Region,Christchurch City.,1/07/2021,2637100,Canterbury Region,Christchurch City,1
11,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Mona Vale.,11,Canterbury Region,Christchurch City.,1/09/2020,2470500,Canterbury Region,Christchurch City,1
20,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",Allenton West.,20,Canterbury Region,Ashburton District.,1/10/2020,2736700,Canterbury Region,Ashburton District,1
12,Sun,Acts Intended to Cause Injury,Christchurch City,Common Assault,Avon Loop.,12,Canterbury Region,Christchurch City.,1/10/2020,2657200,Canterbury Region,Christchurch City,1
16,Sun,Acts Intended to Cause Injury,Selwyn District,Common Assault,West Melton.,16,Canterbury Region,Selwyn District.,1/10/2020,2493802,Canterbury Region,Selwyn District,1
20,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham.,20,Canterbury Region,Christchurch City.,1/08/2021,2617601,Canterbury Region,Christchurch City,1
3,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimate District,"Unlawful Entry With Intent/Burglary, Break and Enter",Waihao.,3,Canterbury Region,Waimate District.,1/07/2021,2816700,Canterbury Region,Waimate District,1
12,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",Mt Somers.,12,Canterbury Region,Ashburton District.,1/06/2021,2753405,Canterbury Region,Ashburton District,1
20,Tue,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Linwood North.,20,Canterbury Region,Christchurch City.,1/08/2021,2612501,Canterbury Region,Christchurch City,1
21,Tue,Sexual Assault and Related Offences,Christchurch City,Non-Aggravated Sexual Assault,Cathedral Square.,21,Canterbury Region,Christchurch City.,1/08/2021,2651600,Canterbury Region,Christchurch City,1
1,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Casebrook.,1,Canterbury Region,Christchurch City.,1/06/2021,2511900,Canterbury Region,Christchurch City,1
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Belfast.,4,Canterbury Region,Christchurch City.,1/07/2021,2513700,Canterbury Region,Christchurch City,1
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Upper Riccarton.,4,Canterbury Region,Christchurch City.,1/06/2021,2542500,Canterbury Region,Christchurch City,1
5,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Waltham.,5,Canterbury Region,Christchurch City.,1/07/2021,2623500,Canterbury Region,Christchurch City,1
9,Mon,Theft and Related Offences,Christchurch City,Theft From Retail Premises,Papanui.,9,Canterbury Region,Christchurch City.,1/01/2021,2663700,Canterbury Region,Christchurch City,1
22,Fri,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Linwood.,22,Canterbury Region,Christchurch City.,1/12/2020,2609200,Canterbury Region,Christchurch City,1
2,Sun,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Mt Pleasant.,2,Canterbury Region,Christchurch City.,1/10/2020,,Canterbury Region,Christchurch City,1
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton.,4,Canterbury Region,Christchurch City.,1/10/2020,2539002,Canterbury Region,Christchurch City,1
11,Mon,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Cathedral Square.,11,Canterbury Region,Christchurch City.,1/08/2021,2649700,Canterbury Region,Christchurch City,1
10,Tue,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Middleton.,10,Canterbury Region,Christchurch City.,1/08/2021,2538601,Canterbury Region,Christchurch City,1
11,Tue,Theft and Related Offences,Ashburton District,Illegal Use of a Motor Vehicle,Methven.,11,Canterbury Region,Ashburton District.,1/08/2021,2752700,Canterbury Region,Ashburton District,1
12,Tue,Theft and Related Offences,Ashburton District,Illegal Use of a Motor Vehicle,Ashburton Central East.,12,Canterbury Region,Ashburton District.,1/08/2021,2732600,Canterbury Region,Ashburton District,1
13,Tue,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Cathedral Square.,13,Canterbury Region,Christchurch City.,1/08/2021,2648400,Canterbury Region,Christchurch City,1
21,Wed,"Abduction, Harassment and Other Related Offences Against a Person",Christchurch City,Abduction and Kidnapping,Halswell Domain.,21,Canterbury Region,Christchurch City.,1/08/2021,2484604,Canterbury Region,Christchurch City,1
13,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),St Albans East.,13,Canterbury Region,Christchurch City.,1/09/2020,2686900,Canterbury Region,Christchurch City,1
15,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Mona Vale.,15,Canterbury Region,Christchurch City.,1/05/2021,2470500,Canterbury Region,Christchurch City,1
16,Fri,Theft and Related Offences,Waimakariri District,Illegal Use of Property (Except Motor Vehicles),Rangiora North.,16,Canterbury Region,Waimakariri District.,1/05/2021,2444002,Canterbury Region,Waimakariri District,1
17,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Avon Loop.,17,Canterbury Region,Christchurch City.,1/05/2021,2658100,Canterbury Region,Christchurch City,1
17,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Shirley East.,17,Canterbury Region,Christchurch City.,1/05/2021,2598700,Canterbury Region,Christchurch City,1
13,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Cathedral Square.,13,Canterbury Region,Christchurch City.,1/09/2020,2651100,Canterbury Region,Christchurch City,1
13,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,North Beach.,13,Canterbury Region,Christchurch City.,1/09/2020,2565800,Canterbury Region,Christchurch City,1
22,Fri,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Avon Loop.,22,Canterbury Region,Christchurch City.,1/11/2020,2655700,Canterbury Region,Christchurch City,1
22,Fri,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Ensors.,22,Canterbury Region,Christchurch City.,1/01/2021,2580700,Canterbury Region,Christchurch City,1
13,Mon,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),St Albans West.,13,Canterbury Region,Christchurch City.,1/08/2021,2690500,Canterbury Region,Christchurch City,1
11,Mon,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Riccarton.,11,Canterbury Region,Christchurch City.,1/06/2021,2472800,Canterbury Region,Christchurch City,1
11,Sat,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Somerfield.,11,Canterbury Region,Christchurch City.,1/09/2020,2645300,Canterbury Region,Christchurch City,1
0,Sat,Acts Intended to Cause Injury,Timaru District,Common Assault,Geraldine.,0,Canterbury Region,Timaru District.,1/10/2020,2763900,Canterbury Region,Timaru District,1
13,Sat,Acts Intended to Cause Injury,Christchurch City,Common Assault,Wairarapa.,13,Canterbury Region,Christchurch City.,1/10/2020,2517600,Canterbury Region,Christchurch City,1
14,Sat,Acts Intended to Cause Injury,Christchurch City,Common Assault,Cathedral Square.,14,Canterbury Region,Christchurch City.,1/10/2020,2652800,Canterbury Region,Christchurch City,1
10,Fri,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Yaldhurst.,10,Canterbury Region,Christchurch City.,1/06/2021,2493901,Canterbury Region,Christchurch City,1
11,Fri,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Northcote.,11,Canterbury Region,Christchurch City.,1/06/2021,2665000,Canterbury Region,Christchurch City,1
14,Fri,Theft and Related Offences,Timaru District,Theft of Motor Vehicle Parts or Contents,Seaview.,14,Canterbury Region,Timaru District.,1/06/2021,2793300,Canterbury Region,Timaru District,1
15,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Mona Vale.,15,Canterbury Region,Christchurch City.,1/06/2021,2474400,Canterbury Region,Christchurch City,1
20,Sun,Acts Intended to Cause Injury,Christchurch City,Common Assault,St Albans West.,20,Canterbury Region,Christchurch City.,1/10/2020,2689200,Canterbury Region,Christchurch City,1
16,Sun,Acts Intended to Cause Injury,Christchurch City,Common Assault,Burwood.,16,Canterbury Region,Christchurch City.,1/11/2020,2602400,Canterbury Region,Christchurch City,1
18,Sun,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Papanui.,18,Canterbury Region,Christchurch City.,1/11/2020,2662500,Canterbury Region,Christchurch City,1
2,Sun,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Waimairi Beach.,2,Canterbury Region,Christchurch City.,1/11/2020,2504207,Canterbury Region,Christchurch City,1
0,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington.,0,Canterbury Region,Christchurch City.,1/06/2021,2659400,Canterbury Region,Christchurch City,1
22,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Hornby North.,22,Canterbury Region,Christchurch City.,1/06/2021,2489200,Canterbury Region,Christchurch City,1
23,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Bromley.,23,Canterbury Region,Christchurch City.,1/06/2021,2580000,Canterbury Region,Christchurch City,1
2,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram.,2,Canterbury Region,Christchurch City.,1/07/2021,2480600,Canterbury Region,Christchurch City,1
18,Fri,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Ilam.,18,Canterbury Region,Christchurch City.,1/02/2021,2537400,Canterbury Region,Christchurch City,1
8,Tue,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Mt Pleasant.,8,Canterbury Region,Christchurch City.,1/01/2021,,Canterbury Region,Christchurch City,1
10,Wed,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Avon-Heathcote Estuary.,10,Canterbury Region,Christchurch City.,1/01/2021,,Canterbury Region,Christchurch City,1
10,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Paparua.,10,Canterbury Region,Christchurch City.,1/02/2021,2494500,Canterbury Region,Christchurch City,1
10,Fri,Acts Intended to Cause Injury,Timaru District,Common Assault,Geraldine.,10,Canterbury Region,Timaru District.,1/02/2021,2764000,Canterbury Region,Timaru District,1
6,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington.,6,Canterbury Region,Christchurch City.,1/10/2020,2660100,Canterbury Region,Christchurch City,1
15,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Timaru District,"Unlawful Entry With Intent/Burglary, Break and Enter",Maori Park.,15,Canterbury Region,Timaru District.,1/11/2020,2780500,Canterbury Region,Timaru District,1
6,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Sockburn.,6,Canterbury Region,Christchurch City.,1/11/2020,2479302,Canterbury Region,Christchurch City,1
18,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Sydenham.,18,Canterbury Region,Christchurch City.,1/09/2020,2616600,Canterbury Region,Christchurch City,1
3,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Barrington South.,3,Canterbury Region,Christchurch City.,1/09/2020,2638201,Canterbury Region,Christchurch City,1
11,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Hagley Park.,11,Canterbury Region,Christchurch City.,1/10/2020,2678100,Canterbury Region,Christchurch City,1
13,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Richmond North.,13,Canterbury Region,Christchurch City.,1/09/2020,2698400,Canterbury Region,Christchurch City,1
13,Fri,Acts Intended to Cause Injury,Selwyn District,Common Assault,Lincoln.,13,Canterbury Region,Selwyn District.,1/09/2020,2717700,Canterbury Region,Selwyn District,1
17,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Merivale.,17,Canterbury Region,Christchurch City.,1/09/2020,2675500,Canterbury Region,Christchurch City,1
10,Fri,Acts Intended to Cause Injury,Christchurch City,Common Assault,Paparua.,10,Canterbury Region,Christchurch City.,1/10/2020,2494600,Canterbury Region,Christchurch City,1
18,Fri,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Riccarton.,18,Canterbury Region,Christchurch City.,1/02/2021,2474801,Canterbury Region,Christchurch City,1
6,Fri,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Phillipstown.,6,Canterbury Region,Christchurch City.,1/06/2021,2607100,Canterbury Region,Christchurch City,1
22,Fri,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Jellie Park.,22,Canterbury Region,Christchurch City.,1/10/2020,2515400,Canterbury Region,Christchurch City,1
15,Fri,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Linwood East.,15,Canterbury Region,Christchurch City.,1/01/2021,2566600,Canterbury Region,Christchurch City,1
22,Fri,"Robbery, Extortion and Related Offences",Waimakariri District,Non-Aggravated Robbery,Coldstream.,22,Canterbury Region,Waimakariri District.,1/10/2020,2446703,Canterbury Region,Waimakariri District,1
16,Fri,"Robbery, Extortion and Related Offences",Christchurch City,Non-Aggravated Robbery,Cathedral Square.,16,Canterbury Region,Christchurch City.,1/10/2020,2651100,Canterbury Region,Christchurch City,1
6,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton.,6,Canterbury Region,Christchurch City.,1/07/2021,2480302,Canterbury Region,Christchurch City,1
1,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Styx.,1,Canterbury Region,Christchurch City.,1/08/2021,2503901,Canterbury Region,Christchurch City,1
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square.,4,Canterbury Region,Christchurch City.,1/08/2021,2648900,Canterbury Region,Christchurch City,1
1,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Selwyn District,"Unlawful Entry With Intent/Burglary, Break and Enter",Malvern.,1,Canterbury Region,Selwyn District.,1/07/2021,2460900,Canterbury Region,Selwyn District,1
4,Thu,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Strowan.,4,Canterbury Region,Christchurch City.,1/08/2021,2672700,Canterbury Region,Christchurch City,1
9,Thu,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Hoon Hay.,9,Canterbury Region,Christchurch City.,1/08/2021,2632600,Canterbury Region,Christchurch City,1
8,Thu,Theft and Related Offences,Waimakariri District,"Theft (Except Motor Vehicles), N.E.C.",Rangiora Central.,8,Canterbury Region,Waimakariri District.,1/08/2021,2445500,Canterbury Region,Waimakariri District,1
11,Tue,Acts Intended to Cause Injury,Christchurch City,Common Assault,Hagley Park.,11,Canterbury Region,Christchurch City.,1/08/2021,2678400,Canterbury Region,Christchurch City,1
10,Sat,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Mairehau North.,10,Canterbury Region,Christchurch City.,1/01/2021,2507101,Canterbury Region,Christchurch City,1
7,Sun,"Robbery, Extortion and Related Offences",Christchurch City,Aggravated Robbery,Mairehau North.,7,Canterbury Region,Christchurch City.,1/01/2021,2507300,Canterbury Region,Christchurch City,1
0,Fri,Sexual Assault and Related Offences,Selwyn District,Aggravated Sexual Assault,Selwyn-Rakaia.,0,Canterbury Region,Selwyn District.,1/09/2020,2726700,Canterbury Region,Selwyn District,1
21,Sat,Sexual Assault and Related Offences,Christchurch City,Aggravated Sexual Assault,Parklands.,21,Canterbury Region,Christchurch City.,1/01/2021,2504115,Canterbury Region,Christchurch City,1
16,Tue,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Yaldhurst.,16,Canterbury Region,Christchurch City.,1/08/2021,2494200,Canterbury Region,Christchurch City,1
16,Tue,Theft and Related Offences,Timaru District,Illegal Use of a Motor Vehicle,Temuka.,16,Canterbury Region,Timaru District.,1/08/2021,2766500,Canterbury Region,Timaru District,1
2,Tue,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Prestons.,2,Canterbury Region,Christchurch City.,1/08/2021,2506901,Canterbury Region,Christchurch City,1
10,Tue,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Linwood.,10,Canterbury Region,Christchurch City.,1/08/2021,2608800,Canterbury Region,Christchurch City,1
0,Sun,Acts Intended to Cause Injury,Christchurch City,Common Assault,Riccarton.,0,Canterbury Region,Christchurch City.,1/12/2020,2474801,Canterbury Region,Christchurch City,1
10,Sun,Acts Intended to Cause Injury,Waimakariri District,Common Assault,Ohoka.,10,Canterbury Region,Waimakariri District.,1/12/2020,2455706,Canterbury Region,Waimakariri District,1
13,Sun,Acts Intended to Cause Injury,Waimate District,Common Assault,Waimate.,13,Canterbury Region,Waimate District.,1/12/2020,2820000,Canterbury Region,Waimate District,1
11,Sun,Acts Intended to Cause Injury,Christchurch City,Common Assault,South Brighton.,11,Canterbury Region,Christchurch City.,1/12/2020,2556702,Canterbury Region,Christchurch City,1
18,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Sydenham.,18,Canterbury Region,Christchurch City.,1/06/2021,2616200,Canterbury Region,Christchurch City,1
10,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),North Beach.,10,Canterbury Region,Christchurch City.,1/07/2021,2565800,Canterbury Region,Christchurch City,1
20,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Riccarton.,20,Canterbury Region,Christchurch City.,1/07/2021,2472800,Canterbury Region,Christchurch City,1
16,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Halswell Domain.,16,Canterbury Region,Christchurch City.,1/08/2021,2484604,Canterbury Region,Christchurch City,1
13,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Hagley Park.,13,Canterbury Region,Christchurch City.,1/10/2020,2678400,Canterbury Region,Christchurch City,1
15,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Addington.,15,Canterbury Region,Christchurch City.,1/10/2020,2660300,Canterbury Region,Christchurch City,1
20,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Hagley Park.,20,Canterbury Region,Christchurch City.,1/10/2020,2678500,Canterbury Region,Christchurch City,1
0,Fri,Theft and Related Offences,Ashburton District,Illegal Use of Property (Except Motor Vehicles),Ashburton Central West.,0,Canterbury Region,Ashburton District.,1/11/2020,2739100,Canterbury Region,Ashburton District,1
8,Mon,Theft and Related Offences,Timaru District,Illegal Use of a Motor Vehicle,Seaview.,8,Canterbury Region,Timaru District.,1/07/2021,2791100,Canterbury Region,Timaru District,1
9,Mon,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Opawa.,9,Canterbury Region,Christchurch City.,1/07/2021,2583500,Canterbury Region,Christchurch City,1
1,Mon,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Middleton.,1,Canterbury Region,Christchurch City.,1/08/2021,2480502,Canterbury Region,Christchurch City,1
5,Mon,Theft and Related Offences,Christchurch City,Illegal Use of a Motor Vehicle,Cashmere West.,5,Canterbury Region,Christchurch City.,1/08/2021,2550300,Canterbury Region,Christchurch City,1
16,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Sydenham.,16,Canterbury Region,Christchurch City.,1/06/2021,2616500,Canterbury Region,Christchurch City,1
19,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Richmond South.,19,Canterbury Region,Christchurch City.,1/06/2021,2693800,Canterbury Region,Christchurch City,1
2,Fri,Theft and Related Offences,Ashburton District,Theft of Motor Vehicle Parts or Contents,Allenton East.,2,Canterbury Region,Ashburton District.,1/06/2021,2734000,Canterbury Region,Ashburton District,1
21,Fri,Theft and Related Offences,Christchurch City,Theft of Motor Vehicle Parts or Contents,Wainoni.,21,Canterbury Region,Christchurch City.,1/06/2021,2568500,Canterbury Region,Christchurch City,1
15,Sat,Acts Intended to Cause Injury,Christchurch City,Common Assault,Heathcote Valley.,15,Canterbury Region,Christchurch City.,1/10/2020,2554600,Canterbury Region,Christchurch City,1
15,Sat,Acts Intended to Cause Injury,Christchurch City,Common Assault,Paparua.,15,Canterbury Region,Christchurch City.,1/10/2020,2494500,Canterbury Region,Christchurch City,1
16,Sat,Acts Intended to Cause Injury,Timaru District,Common Assault,Levels.,16,Canterbury Region,Timaru District.,1/10/2020,2772602,Canterbury Region,Timaru District,1
17,Sat,Acts Intended to Cause Injury,Christchurch City,Common Assault,Riccarton.,17,Canterbury Region,Christchurch City.,1/10/2020,2473200,Canterbury Region,Christchurch City,1
21,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Phillipstown.,21,Canterbury Region,Christchurch City.,1/07/2021,2606800,Canterbury Region,Christchurch City,1
23,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram.,23,Canterbury Region,Christchurch City.,1/07/2021,2480200,Canterbury Region,Christchurch City,1
